DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6020;P6040;DPTO;AREA;FEX_C
3337;1;2;1;10;1;6;99;99;3,28483971745498
3340;1;1;1;10;1;40;97;97;2,47280575973529
3340;1;2;1;10;2;32;97;97;2,47280575973529
3362;1;1;1;10;1;35;95;95;6,85309251180748
3362;1;2;1;10;2;29;95;95;6,85309251180748
3382;1;1;1;10;1;35;94;94;2,7449501588539
3382;1;2;1;10;2;27;94;94;2,7449501588539
3382;1;3;1;10;1;12;94;94;2,7449501588539
3382;1;4;1;10;1;8;94;94;2,7449501588539
3469;1;1;1;10;1;19;95;95;59,6219048527251
3469;1;2;1;10;2;20;95;95;59,6219048527251
3469;1;3;1;10;2;2;95;95;59,6219048527251
3490;1;1;1;10;1;91;94;94;2,31300157042258
3490;1;2;1;10;2;71;94;94;2,31300157042258
3491;1;1;1;10;1;52;95;95;9,07633656905711
3491;1;2;1;10;1;72;95;95;9,07633656905711
3491;1;3;1;10;1;96;95;95;9,07633656905711
3491;1;4;1;10;1;26;95;95;9,07633656905711
3491;1;5;1;10;2;30;95;95;9,07633656905711
3491;1;6;1;10;1;22;95;95;9,07633656905711
3491;1;7;1;10;1;38;95;95;9,07633656905711
3506;1;1;1;10;2;56;94;94;2,52955200701262
3506;1;2;1;10;2;23;94;94;2,52955200701262
3506;1;3;1;10;1;0;94;94;2,52955200701262
3558;1;1;1;10;2;68;95;95;6,85309251180748
3576;1;1;1;10;1;41;95;95;9,02030980186626
3576;1;2;1;10;1;37;95;95;9,02030980186626
3576;1;3;1;10;1;22;95;95;9,02030980186626
3584;1;1;1;10;2;67;99;99;2,08504452592648
3584;1;2;1;10;1;59;99;99;2,08504452592648
3654;1;1;1;10;2;48;95;95;9,02030980186626
3654;1;2;1;10;1;54;95;95;9,02030980186626
3654;1;3;1;10;1;16;95;95;9,02030980186626
3654;1;4;1;10;1;19;95;95;9,02030980186626
3657;1;1;1;10;2;40;95;95;6,85309251180748
3657;1;2;1;10;1;39;95;95;6,85309251180748
3657;1;3;1;10;2;21;95;95;6,85309251180748
3657;1;4;1;10;2;15;95;95;6,85309251180748
3678;1;1;1;10;1;22;99;99;6,36826073642134
3678;1;2;1;10;2;23;99;99;6,36826073642134
3678;1;3;1;10;1;6;99;99;6,36826073642134
3695;1;1;1;10;1;38;97;97;2,64045360761044
3739;1;1;1;10;1;49;95;95;6,85309251180748
3739;1;2;1;10;1;50;95;95;6,85309251180748
3765;1;1;1;10;1;70;95;95;69,0936121256411
3765;1;2;1;10;2;68;95;95;69,0936121256411
3765;1;3;1;10;2;37;95;95;69,0936121256411
