DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;DPTO;AREA;DSI;FEX_C
13019;1;1;1;70;85;85;1;25,5333233762439
13024;1;1;1;70;85;85;1;22,7132054755399
13135;1;2;1;70;81;81;1;7,59043141597366
13173;1;1;1;70;85;85;1;32,1317242158936
13196;1;1;1;70;86;86;1;10,1133043649845
13442;1;1;1;70;95;95;1;12,6288073336026
13537;1;1;1;70;94;94;1;2,49781303383847
13665;1;4;1;70;95;95;1;5,79877058691403
14109;1;5;1;70;95;95;1;5,79877058691403
14131;1;3;1;70;95;95;1;5,79877058691403
14145;1;1;1;70;95;95;1;5,79877058691403
14209;1;3;1;70;99;99;1;1,89549502356952
14240;1;1;1;70;95;95;1;5,79877058691403
14457;1;4;1;70;95;95;1;50,449304106152
14498;1;1;1;70;86;86;1;11,2724115740563
14498;1;2;1;70;86;86;1;11,2724115740563
14555;1;3;1;70;94;94;1;1,24897003745308
14555;1;5;1;70;94;94;1;1,24897003745308
14719;1;3;1;70;85;85;1;25,092154211336
15038;1;1;1;70;85;85;1;23,6692739855844
15038;1;2;1;70;85;85;1;23,6692739855844
15087;1;2;1;70;94;94;1;3,9233600655944
15129;1;1;1;70;95;95;1;50,449304106152
15146;1;2;1;70;95;95;1;5,79877058691403
15159;1;2;1;70;95;95;1;5,79877058691403
15159;1;3;1;70;95;95;1;5,79877058691403
15168;1;3;1;70;95;95;1;5,79877058691403
15168;1;4;1;70;95;95;1;5,79877058691403
15182;1;3;1;70;95;95;1;5,79877058691403
15209;1;3;1;70;86;86;1;12,4124703850957
15209;1;6;1;70;86;86;1;12,4124703850957
15235;1;1;1;70;86;86;1;7,81137416836942
15235;1;3;1;70;86;86;1;7,81137416836942
15621;1;1;1;70;95;95;1;50,449304106152
15621;1;3;1;70;95;95;1;50,449304106152
15648;1;2;1;70;95;95;1;5,79877058691403
15649;1;1;1;70;97;97;1;4,78097264410298
15725;1;3;1;70;85;85;1;18,4755115064009
15725;1;4;1;70;85;85;1;18,4755115064009
15984;1;3;1;70;81;81;1;17,9444658970687
16016;1;1;1;70;81;81;1;7,59043141597366
16032;1;1;1;70;81;81;1;17,8623684280692
16080;1;2;1;70;85;85;1;24,9401575120548
16090;1;3;1;70;85;85;1;22,692568458152
16260;1;1;1;70;95;95;1;7,9428482128613
16260;1;2;1;70;95;95;1;7,9428482128613
16260;1;3;1;70;95;95;1;7,9428482128613
16297;1;1;1;70;85;85;1;26,3870107393122
16297;1;2;1;70;85;85;1;26,3870107393122
16303;1;1;1;70;81;81;1;10,4974144176744
16303;1;2;1;70;81;81;1;10,4974144176744
16313;1;1;1;70;85;85;1;22,692568458152
16365;1;3;1;70;81;81;1;7,59043141597366
16395;1;2;1;70;81;81;1;7,59043141597366
16468;1;1;1;70;99;99;1;3,07918949534479
16597;1;2;1;70;97;97;1;2,61158567482247
16604;1;1;1;70;97;97;1;2,61158567482247
16608;1;1;1;70;97;97;1;2,61158567482247
16637;1;1;1;70;97;97;1;2,61158567482247
16685;1;1;1;70;97;97;1;1,70320804879726
16884;1;1;1;70;86;86;1;7,55355767649758
16884;1;2;1;70;86;86;1;7,55355767649758
16886;1;1;1;70;86;86;1;8,82456208483485
17094;1;4;1;70;86;86;1;4,76435499353424
17357;1;1;1;70;85;85;1;26,1608050835692
17635;1;1;1;70;86;86;1;11,6615090037818
17665;1;2;1;70;86;86;1;6,77106490121325
17807;1;1;1;70;95;95;1;5,79877058691403
17853;1;1;1;70;85;85;1;25,9744925411519
18032;1;2;1;70;85;85;1;26,2125481412114
18242;1;2;1;70;94;94;1;1,74216105885021
18330;1;2;1;70;94;94;1;1,41359416174399
18335;1;1;1;70;81;81;1;20,1941094378605
18605;1;3;1;70;95;95;1;5,79877058691403
18605;1;6;1;70;95;95;1;5,79877058691403
18696;1;3;1;70;85;85;1;18,0815113525847
18903;1;1;1;70;86;86;1;10,3258547301836
18910;1;1;1;70;86;86;1;6,66639045062157
18934;1;2;1;70;86;86;1;11,6615090037818
18938;1;1;1;70;86;86;1;9,32263188098531
18994;1;3;1;70;95;95;1;5,79877058691403
18995;1;2;1;70;95;95;1;5,79877058691403
19098;1;2;1;70;86;86;1;10,9952113435962
19108;1;7;1;70;99;99;1;2,84606850653601
19108;1;8;1;70;99;99;1;2,84606850653601
19134;1;4;1;70;86;86;1;5,64644686640885
19157;1;1;1;70;99;99;1;3,80438060494152
19227;1;2;1;70;94;94;1;1,24897003745308
19279;1;1;1;70;81;81;1;7,59043141597366
19279;1;2;1;70;81;81;1;7,59043141597366
19658;1;1;1;70;95;95;1;8,37600195887581
19663;1;1;1;70;95;95;1;71,3201611642949
19671;1;2;1;70;95;95;1;8,37600195887581
19721;1;1;1;70;95;95;1;8,37600195887581
19816;1;1;1;70;81;81;1;25,3994325091973
19816;1;2;1;70;81;81;1;25,3994325091973
19885;1;3;1;70;81;81;1;12,4834950868116
19954;1;3;1;70;91;91;1;3,57999654168957
20164;1;2;1;70;81;81;1;7,59043141597366
20331;1;2;1;70;85;85;1;22,7767984774985
20459;1;7;1;70;97;97;1;1,70320804879726
20738;1;2;1;70;86;86;1;7,8904828655102
20769;1;2;1;70;95;95;1;5,79877058691403
20779;1;2;1;70;95;95;1;5,79877058691403
20800;1;2;1;70;95;95;1;5,79877058691403
20813;1;2;1;70;97;97;1;1,70320804879726
20813;1;8;1;70;97;97;1;1,70320804879726
20825;1;1;1;70;81;81;1;7,59043141597366
20833;1;1;1;70;95;95;1;50,449304106152
20844;1;1;1;70;81;81;1;19,1275915827519
20857;1;2;1;70;81;81;1;7,59043141597366
21007;1;1;1;70;97;97;1;2,03286121953222
21007;1;2;1;70;97;97;1;2,03286121953222
21098;1;1;1;70;86;86;1;10,8836494848866
21098;1;3;1;70;86;86;1;10,8836494848866
21145;1;1;1;70;85;85;1;12,660813106892
21145;1;3;1;70;85;85;1;12,660813106892
21267;1;1;1;70;95;95;1;5,79877058691403
21267;1;4;1;70;95;95;1;5,79877058691403
21267;1;5;1;70;95;95;1;5,79877058691403
21267;1;6;1;70;95;95;1;5,79877058691403
21267;1;7;1;70;95;95;1;5,79877058691403
21609;1;1;1;70;95;95;1;5,79877058691403
21609;1;2;1;70;95;95;1;5,79877058691403
21609;1;5;1;70;95;95;1;5,79877058691403
21618;1;1;1;70;95;95;1;5,79877058691403
21628;1;2;1;70;95;95;1;5,79877058691403
21681;1;1;1;70;85;85;1;26,6048949834431
21705;1;2;1;70;97;97;1;2,82905743672547
21715;1;2;1;70;81;81;1;7,59043141597366
21876;1;1;1;70;94;94;1;3,82123683998293
22052;1;1;1;70;95;95;1;5,79877058691403
22063;1;6;1;70;85;85;1;24,0205826041368
22136;1;1;1;70;85;85;1;22,7132054755399
22140;1;1;1;70;95;95;1;5,79877058691403
