DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;DPTO;P6430S1;P6500;P6750;P6760;P6800;P6850;P6830;P6830S1;AREA;OCI;FEX_C;P6430;RAMA4D_R4;OFICIO;RAMA2D_R4
4323;1;2;1;60;95; ; ;0;1;10;5;6; ;95;1;9,02030980186626;4;4771;41;47
4323;1;3;1;60;95; ;800; ; ;20;10;7;ACCIDENTE DE TRÁNSITO;95;1;9,02030980186626;1;4754;11;47
4323;1;4;1;60;95; ; ; ; ;48;30;5; ;95;1;9,02030980186626;6;4754;45;47
4323;1;5;1;60;95; ; ;3500000;1;50;60; ; ;95;1;9,02030980186626;4;6920;11;69
4377;1;1;1;60;95; ; ;450;1;24;12;6; ;95;1;9,07633656905711;4;0311;64;03
4377;1;2;1;60;95; ; ;850;1;42;0;6; ;95;1;9,07633656905711;4;5619;51;56
4377;1;5;1;60;95; ; ;450;1;24;12;6; ;95;1;9,07633656905711;4;0311;64;03
4407;1;1;1;60;95; ; ;1200000;1;110;84;5; ;95;1;9,02030980186626;4;9491;14;94
4423;1;1;1;60;95; ; ;0;1;48;48; ; ;95;1;9,02030980186626;5;4111;21;41
4581;1;1;1;60;97; ;1300000; ; ;40;0;5; ;97;1;5,00421913742434;2;8412;39;84
4595;1;1;1;60;97; ;2500000; ; ;40;0;5; ;97;1;1,58966084554411;2;8551;11;85
4601;1;1;1;60;85; ;19000000; ; ;30;8;6; ;85;1;26,7379808214113;2;8530;13;85
4601;1;2;1;60;85; ;1900000; ; ;30;8;6; ;85;1;26,7379808214113;2;8530;13;85
4605;1;1;1;60;97; ; ;150000;1;45;45; ; ;97;1;2,47280575973529;4;4921;98;49
4605;1;2;1;60;97; ;900000; ; ;40;40; ; ;97;1;2,47280575973529;1;4541;44;45
4616;1;1;1;60;85; ;900000; ; ;48;0;6; ;85;1;31,4332084720698;1;4711;45;47
4616;1;2;1;60;85; ;1300000; ; ;40;0;6; ;85;1;31,4332084720698;1;4723;40;47
4637;1;2;1;60;97; ;2000000; ; ;40;40; ; ;97;1;2,74533155905619;1;4923;37;49
4637;1;3;1;60;97; ;2900000; ; ;40;40; ; ;97;1;2,74533155905619;2;8413;39;84
