DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;DPTO;AREA;INI;FEX_C
5166;1;2;1;80;91;91;1;6,69797633095473
5181;1;2;1;80;94;94;1;1,24897003745308
5181;1;3;1;80;94;94;1;1,24897003745308
5183;1;1;1;80;91;91;1;8,67310182316789
5192;1;1;1;80;94;94;1;1,54872284644182
5192;1;2;1;80;94;94;1;1,54872284644182
5192;1;3;1;80;94;94;1;1,54872284644182
5192;1;4;1;80;94;94;1;1,54872284644182
5199;1;1;1;80;94;94;1;2,14871999169823
5199;1;3;1;80;94;94;1;2,14871999169823
5225;1;1;1;80;94;94;1;1,75285676056255
5225;1;2;1;80;94;94;1;1,75285676056255
5225;1;3;1;80;94;94;1;1,75285676056255
5236;1;2;1;80;94;94;1;2,71201866922649
5236;1;3;1;80;94;94;1;2,71201866922649
5236;1;5;1;80;94;94;1;2,71201866922649
5237;1;1;1;80;94;94;1;3,81678420471448
5237;1;5;1;80;94;94;1;3,81678420471448
5237;1;6;1;80;94;94;1;3,81678420471448
5251;1;1;1;80;94;94;1;2,86796441640006
5251;1;2;1;80;94;94;1;2,86796441640006
5266;1;1;1;80;91;91;1;5,99259395272806
5266;1;2;1;80;91;91;1;5,99259395272806
5266;1;3;1;80;91;91;1;5,99259395272806
5272;1;2;1;80;94;94;1;4,73302568810276
5278;1;1;1;80;94;94;1;1,31449311031894
5278;1;2;1;80;94;94;1;1,31449311031894
5278;1;7;1;80;94;94;1;1,31449311031894
5286;1;1;1;80;91;91;1;6,42653362135385
5292;1;1;1;80;85;85;1;25,8460614032006
5292;1;2;1;80;85;85;1;25,8460614032006
5292;1;3;1;80;85;85;1;25,8460614032006
5292;1;4;1;80;85;85;1;25,8460614032006
5295;1;2;1;80;94;94;1;3,14697436966648
5302;1;2;1;80;91;91;1;5,86355463237092
5303;1;1;1;80;94;94;1;3,82123683998293
5313;1;1;1;80;91;91;1;6,74684234736524
5317;1;3;1;80;94;94;1;3,91018157651395
5323;1;2;1;80;91;91;1;7,57647485813393
5332;1;1;1;80;94;94;1;1,66529338327078
5332;1;2;1;80;94;94;1;1,66529338327078
5334;1;1;1;80;91;91;1;4,67286208721731
5350;1;1;1;80;91;91;1;6,64572629060992
5350;1;4;1;80;91;91;1;6,64572629060992
5434;1;3;1;80;91;91;1;6,34836897275029
5526;1;1;1;80;91;91;1;4,50150923121185
5526;1;2;1;80;91;91;1;4,50150923121185
5544;1;2;1;80;85;85;1;33,1220098430535
5544;1;4;1;80;85;85;1;33,1220098430535
5604;1;1;1;80;85;85;1;24,697169911641
5604;1;2;1;80;85;85;1;24,697169911641
5640;1;1;1;80;99;99;1;1,89549502356952
5640;1;2;1;80;99;99;1;1,89549502356952
5659;1;2;1;80;99;99;1;3,44858718169985
5914;1;1;1;80;81;81;1;30,3617256638947
5914;1;2;1;80;81;81;1;30,3617256638947
5920;1;1;1;80;86;86;1;10,0017425062748
5920;1;2;1;80;86;86;1;10,0017425062748
5920;1;3;1;80;86;86;1;10,0017425062748
5920;1;4;1;80;86;86;1;10,0017425062748
5933;1;2;1;80;81;81;1;9,24226683507712
5947;1;2;1;80;99;99;1;4,07711737757744
5949;1;2;1;80;86;86;1;10,6061139138706
5949;1;3;1;80;86;86;1;10,6061139138706
6005;1;2;1;80;99;99;1;2,25659738151893
6005;1;3;1;80;99;99;1;2,25659738151893
6028;1;1;1;80;85;85;1;27,4911931743721
6028;1;2;1;80;85;85;1;27,4911931743721
6031;1;2;1;80;81;81;1;7,59043141597366
6031;1;3;1;80;81;81;1;7,59043141597366
6063;1;1;1;80;85;85;1;27,4911931743721
6063;1;2;1;80;85;85;1;27,4911931743721
6168;1;1;1;80;86;86;1;7,8760240336304
6168;1;2;1;80;86;86;1;7,8760240336304
6168;1;3;1;80;86;86;1;7,8760240336304
6168;1;4;1;80;86;86;1;7,8760240336304
6270;1;1;1;80;85;85;1;14,1661886907829
6270;2;1;2;80;85;85;1;14,1661886907829
6316;1;2;1;80;99;99;1;6,56030669541814
6357;1;1;1;80;85;85;1;25,3302945757127
6461;1;1;1;80;85;85;1;33,9952968966204
6522;1;2;1;80;85;85;1;23,7580726426917
6533;1;2;1;80;85;85;1;28,1347144228692
6560;1;1;1;80;99;99;1;1,89549502356952
6599;1;1;1;80;85;85;1;25,1761453281092
6599;1;2;1;80;85;85;1;25,1761453281092
6661;1;1;1;80;81;81;1;7,59043141597366
6661;1;3;1;80;81;81;1;7,59043141597366
6661;1;4;1;80;81;81;1;7,59043141597366
6752;1;1;1;80;85;85;1;29,4560071176553
6752;1;3;1;80;85;85;1;29,4560071176553
6752;1;4;1;80;85;85;1;29,4560071176553
6797;1;2;1;80;85;85;1;20,9984921091682
6797;1;4;1;80;85;85;1;20,9984921091682
6813;1;3;1;80;85;85;1;14,862693647221
6874;1;1;1;80;85;85;1;25,4781080906652
6874;1;2;1;80;85;85;1;25,4781080906652
6917;1;1;1;80;85;85;1;19,988252278508
6933;1;1;1;80;85;85;1;27,3240128617363
6933;1;2;1;80;85;85;1;27,3240128617363
6936;1;1;1;80;85;85;1;26,423769532872
6936;1;2;1;80;85;85;1;26,423769532872
6960;1;1;1;80;85;85;1;26,9223893309249
6960;1;2;1;80;85;85;1;26,9223893309249
7012;1;1;1;80;85;85;1;21,7378888294125
7012;1;2;1;80;85;85;1;21,7378888294125
7035;1;1;1;80;85;85;1;27,5439725723638
7046;1;1;1;80;81;81;1;12,7744662358068
7046;1;2;1;80;81;81;1;12,7744662358068
7046;1;3;1;80;81;81;1;12,7744662358068
7046;1;4;1;80;81;81;1;12,7744662358068
7132;1;3;1;80;99;99;1;4,26511255199556
7132;1;4;1;80;99;99;1;4,26511255199556
7178;1;3;1;80;99;99;1;3,30321148063277
7193;1;1;1;80;86;86;1;8,68572842914156
7201;1;1;1;80;86;86;1;6,85017359835403
7201;1;2;1;80;86;86;1;6,85017359835403
7226;1;1;1;80;86;86;1;9,10176231529496
7241;1;1;1;80;86;86;1;4,38241856314117
7241;1;2;1;80;86;86;1;4,38241856314117
7241;1;3;1;80;86;86;1;4,38241856314117
7254;1;1;1;80;86;86;1;4,38241856314117
7254;1;2;1;80;86;86;1;4,38241856314117
7323;1;2;1;80;95;95;1;6,20333597669872
7323;1;3;1;80;95;95;1;6,20333597669872
7323;1;5;1;80;95;95;1;6,20333597669872
7323;1;6;1;80;95;95;1;6,20333597669872
7323;1;7;1;80;95;95;1;6,20333597669872
7323;1;10;1;80;95;95;1;6,20333597669872
7323;1;11;1;80;95;95;1;6,20333597669872
7323;1;12;1;80;95;95;1;6,20333597669872
7392;1;2;1;80;99;99;1;6,54771953283538
7403;1;1;1;80;85;85;1;29,0463710763109
7419;1;1;1;80;95;95;1;6,32593154936075
7419;1;2;1;80;95;95;1;6,32593154936075
7420;1;3;1;80;94;94;1;3,07324594643101
7425;1;4;1;80;91;91;1;12,5963556259914
7425;1;5;1;80;91;91;1;12,5963556259914
7425;2;1;2;80;91;91;1;12,5963556259914
7432;1;6;1;80;95;95;1;6,32593154936075
7437;1;1;1;80;99;99;1;1,89549502356952
7437;1;3;1;80;99;99;1;1,89549502356952
7441;1;1;1;80;86;86;1;9,03528168899516
7443;1;2;1;80;91;91;1;7,36268847281448
7443;1;3;1;80;91;91;1;7,36268847281448
7460;1;1;1;80;99;99;1;10,6709349475025
7460;1;2;1;80;99;99;1;10,6709349475025
7460;1;3;1;80;99;99;1;10,6709349475025
7460;1;6;1;80;99;99;1;10,6709349475025
7473;1;1;1;80;86;86;1;7,26620748450743
7483;1;1;1;80;94;94;1;1,43484803899968
7483;1;2;1;80;94;94;1;1,43484803899968
7483;1;3;1;80;94;94;1;1,43484803899968
7483;1;4;1;80;94;94;1;1,43484803899968
7483;1;5;1;80;94;94;1;1,43484803899968
7510;1;1;1;80;81;81;1;30,3617256638947
7510;1;2;1;80;81;81;1;30,3617256638947
7510;1;6;1;80;81;81;1;30,3617256638947
7551;1;2;1;80;81;81;1;8,64201229591257
7551;1;3;1;80;81;81;1;8,64201229591257
7567;1;1;1;80;86;86;1;6,85017359835403
7567;1;2;1;80;86;86;1;6,85017359835403
7586;1;2;1;80;86;86;1;8,82456208483485
7635;1;1;1;80;86;86;1;9,98892954117097
7672;1;1;1;80;86;86;1;6,32946526160895
7732;1;1;1;80;86;86;1;8,71116946508641
7732;1;2;1;80;86;86;1;8,71116946508641
7732;1;4;1;80;86;86;1;8,71116946508641
7733;1;3;1;80;85;85;1;29,3288745445673
7789;1;1;1;80;85;85;1;33,2356981076047
7789;1;2;1;80;85;85;1;33,2356981076047
7789;1;3;1;80;85;85;1;33,2356981076047
7799;1;3;1;80;86;86;1;8,2920579197838
7799;1;4;1;80;86;86;1;8,2920579197838
7806;2;1;2;80;81;81;1;7,59043141597366
7806;2;2;2;80;81;81;1;7,59043141597366
7806;2;3;2;80;81;81;1;7,59043141597366
7806;2;4;2;80;81;81;1;7,59043141597366
7806;2;5;2;80;81;81;1;7,59043141597366
7825;1;1;1;80;99;99;1;8,37554867320653
7825;1;2;1;80;99;99;1;8,37554867320653
7825;1;3;1;80;99;99;1;8,37554867320653
7827;1;3;1;80;95;95;1;6,32593154936075
7851;1;1;1;80;85;85;1;20,1693407873023
7851;1;3;1;80;85;85;1;20,1693407873023
7885;1;1;1;80;81;81;1;9,98740975786009
7898;1;1;1;80;99;99;1;2,74524685632896
7907;1;2;1;80;99;99;1;2,00539025440272
7957;2;3;2;80;94;94;1;1,2868176143456
7957;2;4;2;80;94;94;1;1,2868176143456
7958;1;1;1;80;85;85;1;38,8308125291741
7958;1;2;1;80;85;85;1;38,8308125291741
7966;1;1;1;80;94;94;1;2,49781303383847
8031;1;1;1;80;95;95;1;12,6288073336026
8034;1;3;1;80;94;94;1;1,41800184271174
8049;1;2;1;80;95;95;1;50,449304106152
8049;1;3;1;80;95;95;1;50,449304106152
8121;1;1;1;80;95;95;1;5,79877058691403
8166;1;2;1;80;95;95;1;25,5595410611104
8178;1;1;1;80;85;85;1;25,0959015763977
8178;1;2;1;80;85;85;1;25,0959015763977
8178;1;3;1;80;85;85;1;25,0959015763977
8178;1;5;1;80;85;85;1;25,0959015763977
8178;1;7;1;80;85;85;1;25,0959015763977
8178;1;8;1;80;85;85;1;25,0959015763977
8199;1;1;1;80;85;85;1;27,4445205179489
8247;1;1;1;80;95;95;1;16,8678344165816
8247;1;2;1;80;95;95;1;16,8678344165816
8247;1;3;1;80;95;95;1;16,8678344165816
8254;1;4;1;80;95;95;1;6,20333597669872
8254;1;5;1;80;95;95;1;6,20333597669872
8488;1;1;1;80;91;91;1;8,08777313057719
8706;1;3;1;80;85;85;1;21,8205843474894
8742;1;2;1;80;91;91;1;4,270956173601
8742;1;5;1;80;91;91;1;4,270956173601
8769;1;1;1;80;81;81;1;9,98740975786009
8806;1;1;1;80;91;91;1;3,74102359725537
8806;1;2;1;80;91;91;1;3,74102359725537
8806;1;7;1;80;91;91;1;3,74102359725537
8807;1;1;1;80;97;97;1;9,39973369539127
8807;1;2;1;80;97;97;1;9,39973369539127
8807;1;3;1;80;97;97;1;9,39973369539127
8807;1;4;1;80;97;97;1;9,39973369539127
8837;1;1;1;80;81;81;1;12,662171823429
8876;1;2;1;80;81;81;1;9,3764152785557
8895;1;3;1;80;94;94;1;2,58652141457832
8900;1;1;1;80;94;94;1;1,88039067118461
8902;1;1;1;80;81;81;1;9,3764152785557
8921;1;3;1;80;94;94;1;2,083321910025
8921;1;4;1;80;94;94;1;2,083321910025
8921;1;5;1;80;94;94;1;2,083321910025
8931;1;3;1;80;97;97;1;2,34993342384782
8952;1;1;1;80;81;81;1;23,3869996143157
8952;1;2;1;80;81;81;1;23,3869996143157
8955;1;1;1;80;85;85;1;17,168134377804
8955;1;2;1;80;85;85;1;17,168134377804
8981;1;1;1;80;81;81;1;9,3764152785557
8981;1;2;1;80;81;81;1;9,3764152785557
8981;1;3;1;80;81;81;1;9,3764152785557
8985;1;1;1;80;91;91;1;5,84116948319464
8995;1;2;1;80;81;81;1;9,98740975786009
9032;1;2;1;80;97;97;1;1,58966084554411
9044;1;1;1;80;97;97;1;5,5258326614108
9050;1;5;1;80;97;97;1;1,79700791235421
9060;1;1;1;80;97;97;1;2,34993342384782
9060;1;2;1;80;97;97;1;2,34993342384782
9060;1;3;1;80;97;97;1;2,34993342384782
9088;1;2;1;80;97;97;1;1,79700791235421
9098;1;1;1;80;94;94;1;2,31300157042258
9119;1;1;1;80;91;91;1;6,97996700021972
9124;1;1;1;80;94;94;1;2,91011972333742
9124;1;2;1;80;94;94;1;2,91011972333742
9124;1;3;1;80;94;94;1;2,91011972333742
9124;1;4;1;80;94;94;1;2,91011972333742
9124;1;5;1;80;94;94;1;2,91011972333742
9159;1;1;1;80;81;81;1;30,3617256638947
9159;1;2;1;80;81;81;1;30,3617256638947
9159;1;5;1;80;81;81;1;30,3617256638947
9188;1;3;1;80;95;95;1;5,79877058691403
9209;1;4;1;80;97;97;1;2,5653167926255
9213;1;2;1;80;97;97;1;3,63497738277559
9224;1;1;1;80;94;94;1;3,22564872890815
9224;1;2;1;80;94;94;1;3,22564872890815
9232;1;3;1;80;97;97;1;1,58966084554411
9264;1;2;1;80;94;94;1;1,79849367114737
9264;1;3;1;80;94;94;1;1,79849367114737
9288;1;1;1;80;86;86;1;6,66639045062157
9289;1;2;1;80;97;97;1;3,54391240978848
9289;1;4;1;80;97;97;1;3,54391240978848
9303;1;1;1;80;94;94;1;2,48522504732417
