DIRECTORIO;AREA;ocupados;sexo;estudia;edad;educación
4903728;5;1;0;0;26;5
4903728;5;0;0;;0;
4903728;5;0;1;0;60;3
4903729;5;0;1;1;25;6
4903729;5;0;0;1;24;6
4903729;5;0;1;0;45;5
4903731;5;0;0;0;37;5
4903731;5;0;1;1;13;4
4903732;5;0;0;0;36;1
4903733;5;1;0;1;16;4
4903733;5;1;1;0;14;1
4903734;5;1;1;0;11;1
4903734;5;1;1;;2;
4903734;5;1;1;1;39;6
4903735;5;1;0;0;47;5
4903735;5;1;1;0;26;5
4903736;5;1;0;1;8;3
4903736;5;0;0;0;66;3
4903736;5;0;0;0;40;3
4903736;5;0;1;0;44;4
4903736;5;0;1;0;24;4
4903737;5;1;0;1;5;2
4903737;5;0;0;0;19;5
4903738;5;1;1;0;36;5
4903738;5;1;0;0;27;6
4903738;5;0;1;0;29;5
4903738;5;0;0;0;36;4
4903739;5;0;1;1;10;3
4903740;5;0;1;1;3;2
4903741;5;1;1;0;36;5
4903741;5;1;0;0;33;5
4903744;5;1;1;1;16;4
4903745;5;1;1;1;6;3
4903746;5;1;0;0;63;4
4903747;5;1;1;0;62;5
4903747;5;0;0;0;50;5
4903748;5;1;0;1;20;6
4903748;5;0;0;0;55;3
4903749;5;0;0;0;32;5
4903749;5;0;1;1;9;3
4903750;5;1;0;0;79;5
4903751;5;0;0;0;30;5
4903752;5;1;0;1;11;3
4903753;5;0;0;0;61;3
4903753;5;0;1;0;55;5
4903754;5;0;0;0;52;6
4903754;5;0;0;0;25;6
4903754;5;0;1;0;29;5
4903755;5;0;0;1;24;6
4903755;5;1;1;;0;
4903756;5;1;1;0;64;3
4903757;5;1;0;0;43;5
4903757;5;1;0;1;18;6
4903758;5;1;0;1;16;5
4903758;5;1;0;1;11;4
4903759;5;1;0;1;22;6
4903760;5;1;1;0;56;1
4903760;5;1;0;0;51;3
4903761;5;1;1;1;11;4
4903763;8;1;1;0;36;6
4903763;8;0;0;0;38;5
4903763;8;0;1;1;16;6
4903763;8;1;1;1;15;4
4903764;8;1;0;0;77;3
4903764;8;0;0;1;20;6
4903765;8;1;1;0;46;5
4903765;8;1;0;0;32;4
4903766;8;1;1;1;10;3
4903766;8;0;1;1;8;3
4903767;8;0;0;0;54;4
4903767;8;0;0;1;11;3
4903768;11;1;0;0;31;6
4903769;11;0;0;1;9;3
4903769;11;0;0;0;29;6
4903769;11;0;0;1;6;3
4903770;11;1;1;;0;
4903771;11;1;0;0;37;5
4903772;13;0;0;1;15;4
4903772;13;1;1;0;25;4
4903772;13;0;0;1;24;6
4903773;13;1;1;1;5;3
4903773;13;0;0;;2;
4903774;13;1;0;0;69;3
4903774;13;1;1;0;45;1
4903774;13;0;0;0;40;5
4903774;13;0;1;1;11;4
4903774;13;0;0;0;40;5
4903775;13;0;1;0;28;4
4903775;13;1;0;0;65;1
4903775;13;0;1;0;72;3
4903775;13;1;0;0;55;4
4903776;13;0;1;0;57;3
4903776;13;0;1;0;49;5
4903776;13;0;0;0;71;3
4903776;13;0;0;0;23;6
4903776;13;1;1;0;28;6
4903776;13;0;0;0;25;5
4903777;13;0;0;1;7;3
4903777;13;0;1;0;23;3
4903777;13;1;0;0;49;6
4903777;13;1;0;0;34;6
4903778;13;0;1;0;34;5
4903778;13;0;0;0;45;4
4903778;13;1;1;0;26;3
4903778;13;0;0;0;43;6
4903779;13;1;1;1;10;3
4903779;13;0;0;0;42;5
4903779;13;0;0;1;15;4
4903780;13;1;0;0;18;6
4903780;13;0;1;0;21;5
4903781;13;1;1;0;64;4
4903781;13;0;0;0;70;4
4903781;13;1;1;0;28;4
4903781;13;1;0;0;29;6
4903782;13;0;1;1;4;2
4903782;13;0;1;0;31;5
4903783;13;1;0;0;23;5
4903783;13;0;0;1;7;3
4903783;13;1;0;;2;
4903783;13;0;0;0;49;6
4903784;13;1;0;0;19;6
4903784;13;1;0;;0;
4903785;13;0;1;0;35;6
4903785;13;0;0;0;79;3
4903785;13;0;0;0;54;6
4903786;13;1;1;1;23;6
4903786;13;1;0;0;43;6
4903786;13;0;0;0;25;5
4903787;13;0;0;0;5;1
4903787;13;1;0;0;64;3
4903787;13;1;1;0;65;6
4903787;13;1;0;0;37;6
4903788;13;0;0;1;9;3
4903788;13;1;1;0;65;6
4903789;13;1;0;0;60;5
4903789;13;1;0;0;41;6
4903789;13;1;1;0;49;5
4903790;13;0;0;1;16;5
4903791;13;0;0;1;15;4
4903791;13;0;0;1;13;4
4903792;13;1;0;0;43;6
4903792;13;0;1;0;34;5
4903792;13;1;0;1;13;4
4903793;13;1;1;0;3;1
4903793;13;0;1;0;69;6
4903793;13;1;0;0;70;5
4903793;13;0;0;0;62;5
4903793;13;0;1;0;60;5
4903794;13;1;1;1;29;6
4903794;13;0;0;0;34;6
4903794;13;0;1;0;40;6
4903794;13;0;0;1;4;2
4903795;13;0;0;0;75;4
4903796;13;1;1;0;84;5
4903796;13;0;0;0;46;6
4903797;13;1;0;0;25;6
4903797;13;1;1;0;70;6
4903797;13;1;0;0;65;6
4903798;13;1;1;0;40;6
4903798;13;1;1;1;16;5
4903798;13;0;1;0;56;6
4903798;13;0;0;0;52;6
4903799;13;0;0;1;15;4
4903799;13;0;1;0;36;6
4903800;13;1;0;0;39;6
4903800;13;0;0;1;6;3
4903801;13;1;1;0;40;5
4903801;13;1;0;1;15;4
4903802;13;1;0;0;47;4
4903802;13;1;1;0;35;5
4903802;13;1;0;0;58;5
4903802;13;1;0;0;57;5
4903803;13;1;1;0;50;5
4903803;13;1;0;0;49;5
4903803;13;0;0;0;25;6
4903803;13;1;0;1;18;6
4903804;13;0;1;0;54;6
4903804;13;1;0;0;40;6
4903804;13;1;0;;1;
4903805;13;0;0;0;63;6
4903805;13;1;1;0;36;6
4903805;13;0;0;0;30;6
4903806;13;1;0;1;6;3
4903806;13;1;1;0;29;6
4903806;13;0;0;0;33;6
4903807;13;0;0;;0;
4903807;13;1;0;0;52;6
4903807;13;1;0;0;58;6
4903807;13;0;1;0;63;5
4903807;13;1;0;0;29;6
4903808;13;1;1;0;27;6
4903808;13;0;1;;1;
4903809;13;0;0;0;74;3
4903809;13;0;0;0;47;6
